picture, Brand, Type, Form Factor, C. of Origin, State, Measured Capacity @ load<br> 0.9V cutoff,Measured Capacity @ load<br> 0.7V cutoff, Ri [Ohm], Weight [g],result,report, Comment,source
/assets/images/tests/alkaline/0012t.JPG,Amazon, amazonbasics Industrial, AA, China, new / 1y old, 2093-2215mAh@50mA <br> 2064-2220mAh@100mA <br> 1870mAh@200mA <br> 1110-1229mAh@500mA <br> 620mAh@1A, 2353mAh@50mA <br> 2255mAh@100mA <br> 2019mAh@200mA <br> 1236-1381mAh@500mA <br> 858mAh@1A, 0.142-0.323,22.23-23.42,legit,,, Amazon
/assets/images/tests/alkaline/0019t.JPG,Kaufland, SwitchOn, AA, China, new, 897mAh@500mA <br> 645mAh@1A <br> 233mAh@2A, 782mAh@1A <br> 553mAh@2A,0.268-0.278,23.72-23.92,legit,, , Kaufland
/assets/images/tests/alkaline/0024t.JPG,7 eleven, 24/7 life Super Alkaline Plus, AAA, China, new,1023mAh@100mA <br> 487mAh@500mA <br> 276mAh@1A <br> 97mAh@2A, 1064mAh@100mA <br> 583mAh@500mA <br> 393mAh@1A <br> 2mAh@2A,0.370-0.440,11.24-11.30,legit,, , 7 eleven
/assets/images/tests/alkaline/0033t.JPG,VARTA, LONGLIFE POWER (Blue), AA, Germany, new,2747mAh@50mA <br> 2358mAh@100mA <br> 2054mAh@200mA <br> 1402mAh@500mA, 2755mAh@50mA <br> 2359mAh@100mA <br> 2028mAh@200mA <br> 1533mAh@500mA,0.128-0.243,23.00-23.28,legit,, , Amazon
/assets/images/tests/alkaline/0034t.JPG,VARTA, LONGLIFE (Yellow), AA, Germany, new,2320mAh@100mA <br> 1965mAh@200mA <br> 1430mAh@500mA, TBD,0.103-0.126,23.12-23.23,legit,, , Amazon
/assets/images/tests/alkaline/0035t.JPG,VARTA, LONGLIFE MAX POWER (Red), AA, Germany, new, 2606mAh@50mA <br> 2466mAh@100mA <br> 1996mAh@200mA <br> 1326mAh@500mA, 2881@50mA <br> 2494@100mA <br> 1944@200mA <br> 1527@500mA,0.095-0.166,23.72-24.00,legit,, , Amazon
/assets/images/tests/alkaline/0036t.JPG,Amazon, amazon basics (orange), AA, China, new, 2498mAh@50mA <br> 2261mAh@100mA, TBD ,0.136-0.155,22.85-23.18,legit,, , Amazon
/assets/images/tests/alkaline/0037t.JPG,Energizer, Max (Silver-Black), AA, China, new, 2682mAh@50mA <br> 2349mAh@100mA <br> 2047mAh@200mA <br>1408mAh@500mA,  2724mAh@50ma <br> 2413mAh@100ma <br> 2232mAh@200ma <br> 1607mAh@500ma ,0.173-0.384,23.76-24.03,legit,, , Amazon
/assets/images/tests/alkaline/0038t.JPG,VARTA, Energy (White-Yellow), AA, Germany, new, 2481mAh@50mA <br> 2334mAh@100mA <br> 2033mAh@200mA <br> 1475mAh@500mA, 2678mAh@50ma <br> 2483mAh@100ma <br> 2006mAh@200ma <br> 1582mAh@500ma ,0.150-0.347,22.28-22.51,legit,, , Amazon
/assets/images/tests/alkaline/0039t.JPG,Duracell, Optimum (Black-Copper), AA, Belgium, new, 2669mAh@50mA <br> 2558mAh@100mA <br> 2153mAh@200mA <br> 1617mAh@500mA, 2692mAh@50ma <br> 2578mAh@100ma <br> 2081mAh@200ma <br> 1608mAh@500ma ,0.118-0.242,24.00-24.35,legit,, , Amazon
/assets/images/tests/alkaline/0040t.JPG,Rewe, ja! AA MIGNON (Orange-Weiss), AA, Unknown?, new, 2713mAh@50mA <br> 2576mAh@100mA <br> 2170mAh@200mA <br> 1530mAh@500mA, 1694mAh@500mA ,0.141-0.369,23.45-23.78,legit,, , Rewe